gene_type,gene_type_abbrev
IG_J_gene,misc
TR_D_gene,misc
IG_D_gene,misc
IG_V_gene,misc
TR_V_gene,misc
vault_RNA,misc
polymorphic_pseudogene,pseudogene
TR_J_gene,misc
IG_C_pseudogene,pseudogene
IG_V_pseudogene,pseudogene
sRNA,misc
pseudogene,pseudogene
scRNA,misc
transcribed_processed_pseudogene,pseudogene
unitary_pseudogene,pseudogene
transcribed_unitary_pseudogene,pseudogene
transcribed_unprocessed_pseudogene,pseudogene
rRNA,rRNA
Mt_rRNA,rRNA
TEC,misc
unprocessed_pseudogene,pseudogene
scaRNA,scaRNA
processed_pseudogene,pseudogene
misc_RNA,misc_RNA
Mt_tRNA,Mt_tRNA
rRNA_pseudogene,rRNA
snRNA,snRNA
miRNA,miRNA
lncRNA,lncRNA
snoRNA,snoRNA
protein_coding,protein_coding