sample_id,cell_type,firre_ko,genotype,firre_induced,timepoint,chip_antibody,replicate,experiment_replicate,timecourse_length,date_sequenced,sample_name,bam_name,geo_sample_name,geo_sample_name_read1,geo_sample_name_read2,raw_data_read1,raw_data_read2,raw_data_read1_file_name,raw_data_read2_file_name,md5_read1,md5_read2
JR2814,mESC,WT,WT,control,0 hours,Input,1,1,4 days,2020-02,Firre WT 0d Input,WT.CTL,mESC_Firre_OE_control_0h_input_ChIPseq,mESC_Firre_OE_control_0h_input_ChIPseq_read1.fastq.gz,mESC_Firre_OE_control_0h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2814_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2814_R2.fastq.gz,JR2814_R1.fastq.gz,JR2814_R2.fastq.gz,19747ea83ea9b5bd1caa1db3d8e35114,ba5497172e030203394cc93068a328a1
JR2815,mESC,WT,WTiTg,firre_induced,0 hours,Input,1,1,4 days,2020-02,Firre WTiTg 0d Input,WTiTg,mESC_Firre_OE_firre_induced_0h_input_ChIPseq,mESC_Firre_OE_firre_induced_0h_input_ChIPseq_read1.fastq.gz,mESC_Firre_OE_firre_induced_0h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2815_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2815_R2.fastq.gz,JR2815_R1.fastq.gz,JR2815_R2.fastq.gz,6502c20cc8947f2c19b6bc8eac94edd3,a7a36b9d6ec42a45fbbb0ef56b05ff71
JR2816,mESC,KO,KO,control,0 hours,Input,1,1,4 days,2020-02,Firre KO 0d Input,KO.CTL,mESC_Firre_Rescue_control_0h_input_ChIPseq,mESC_Firre_Rescue_control_0h_input_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_control_0h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2816_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2816_R2.fastq.gz,JR2816_R1.fastq.gz,JR2816_R2.fastq.gz,ce08d92773fa97a183933443f02c9619,c102164c299de644aa13ace445b85195
JR2817,mESC,KO,KOiTg,firre_induced,0 hours,Input,1,1,4 days,2020-02,Firre KOiTg 0d Input,KOiTg,mESC_Firre_Rescue_firre_induced_0h_input_ChIPseq,mESC_Firre_Rescue_firre_induced_0h_input_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_firre_induced_0h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2817_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2817_R2.fastq.gz,JR2817_R1.fastq.gz,JR2817_R2.fastq.gz,495376279f49cdf7b13b1de8bba1726c,d8f62d8da204c7b04870852574fc08ad
JR2818,mESC,WT,WT,control,0 hours,K27me3,1,1,4 days,2020-02,Firre WT 0d K27me3 IP,WT.CTL.IP,mESC_Firre_OE_control_0h_H3K27me3_ChIPseq,mESC_Firre_OE_control_0h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_OE_control_0h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2818_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2818_R2.fastq.gz,JR2818_R1.fastq.gz,JR2818_R2.fastq.gz,b8f10b4285252d3c17642727c87a1b54,2e6c4c1913a493a30ad5fa3795a545b7
JR2819,mESC,WT,WTiTg,firre_induced,0 hours,K27me3,1,1,4 days,2020-02,Firre WTiTg 0d K27me3 IP,WTiTg.IP,mESC_Firre_OE_firre_induced_0h_H3K27me3_ChIPseq,mESC_Firre_OE_firre_induced_0h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_OE_firre_induced_0h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2819_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2819_R2.fastq.gz,JR2819_R1.fastq.gz,JR2819_R2.fastq.gz,5979b813320b6b07e3fbde6c8e3718fa,ed3ce895833692822bbddd20e0d2343e
JR2820,mESC,KO,KO,control,0 hours,K27me3,1,1,4 days,2020-02,Firre KO 0d K27me3 IP,KO.CTL.IP,mESC_Firre_Rescue_control_0h_H3K27me3_ChIPseq,mESC_Firre_Rescue_control_0h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_control_0h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2820_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2820_R2.fastq.gz,JR2820_R1.fastq.gz,JR2820_R2.fastq.gz,a0af39246a79e62cbbc988b554771e6b,fba832f5210b91dea01f5c630e4c933b
JR2821,mESC,KO,KOiTg,firre_induced,0 hours,K27me3,1,1,4 days,2020-02,Firre KOiTg 0d K27me3 IP,KOiTg.IP,mESC_Firre_Rescue_firre_induced_0h_H3K27me3_ChIPseq,mESC_Firre_Rescue_firre_induced_0h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_firre_induced_0h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2821_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2821_R2.fastq.gz,JR2821_R1.fastq.gz,JR2821_R2.fastq.gz,09e7840b527292831fc7989580bd667b,064c881d9c6629bf1deccc0ea71e0ff4
JR2822,mESC,WT,WT,control,48 hours,Input,1,1,4 days,2020-02,Firre WT 2d Input,WT.CTL.48,mESC_Firre_OE_control_48h_input_ChIPseq,mESC_Firre_OE_control_48h_input_ChIPseq_read1.fastq.gz,mESC_Firre_OE_control_48h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2822_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2822_R2.fastq.gz,JR2822_R1.fastq.gz,JR2822_R2.fastq.gz,0a49165711f15ad066e045211b74feaa,f51f47b4f27648532ff3b1f123bdd672
JR2823,mESC,WT,WTiTg,firre_induced,48 hours,Input,1,1,4 days,2020-02,Firre WTiTg 2d Input,WTiTg.48,mESC_Firre_OE_firre_induced_48h_input_ChIPseq,mESC_Firre_OE_firre_induced_48h_input_ChIPseq_read1.fastq.gz,mESC_Firre_OE_firre_induced_48h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2823_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2823_R2.fastq.gz,JR2823_R1.fastq.gz,JR2823_R2.fastq.gz,720257ef582daa3c4988b2eedd0f7489,4e33ade06cac0dfd906e34580bfcd784
JR2824,mESC,KO,KO,control,48 hours,Input,1,1,4 days,2020-02,Firre KO 2d Input,KO.CTL.48,mESC_Firre_Rescue_control_48h_input_ChIPseq,mESC_Firre_Rescue_control_48h_input_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_control_48h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2824_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2824_R2.fastq.gz,JR2824_R1.fastq.gz,JR2824_R2.fastq.gz,8670ba9952bc1c9b7ff8dea12f8b98bf,33203016dbb02bd0a0b6c3922867e67b
JR2825,mESC,KO,KOiTg,firre_induced,48 hours,Input,1,1,4 days,2020-02,Firre KOiTg 2d Input,KOiTg.48,mESC_Firre_Rescue_firre_induced_48h_input_ChIPseq,mESC_Firre_Rescue_firre_induced_48h_input_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_firre_induced_48h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2825_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2825_R2.fastq.gz,JR2825_R1.fastq.gz,JR2825_R2.fastq.gz,317dac785cf8f8746ad28d9a3075cab2,dddbd4aa7cf7eea2dbf777788f9f4a78
JR2826,mESC,WT,WT,control,48 hours,K27me3,1,1,4 days,2020-02,Firre WT 2d K27me3 IP,WT.CTL.48.IP,mESC_Firre_OE_control_48h_H3K27me3_ChIPseq,mESC_Firre_OE_control_48h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_OE_control_48h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2826_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2826_R2.fastq.gz,JR2826_R1.fastq.gz,JR2826_R2.fastq.gz,0befe467afebe886ab33b4c1fd9b239d,f700c1ac3f26d490abf42222d7cb4f31
JR2827,mESC,WT,WTiTg,firre_induced,48 hours,K27me3,1,1,4 days,2020-02,Firre WTiTg 2d K27me3 IP,WTiTg.48.IP,mESC_Firre_OE_firre_induced_48h_H3K27me3_ChIPseq,mESC_Firre_OE_firre_induced_48h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_OE_firre_induced_48h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2827_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2827_R2.fastq.gz,JR2827_R1.fastq.gz,JR2827_R2.fastq.gz,3584d9132d5b55d6c588ba3dedc06d06,a512644e7eac7b6ceb2d7f32e3f9afe2
JR2828,mESC,KO,KO,control,48 hours,K27me3,1,1,4 days,2020-02,Firre KO 2d K27me3 IP,KO.CTL.48.IP,mESC_Firre_Rescue_control_48h_H3K27me3_ChIPseq,mESC_Firre_Rescue_control_48h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_control_48h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2828_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2828_R2.fastq.gz,JR2828_R1.fastq.gz,JR2828_R2.fastq.gz,4d51332480131f5386585446c01cb584,91a3c75146417bb24af0e0177a0a9978
JR2829,mESC,KO,KOiTg,firre_induced,48 hours,K27me3,1,1,4 days,2020-02,Firre KOiTg 2d K27me3 IP,KOiTg.48.IP,mESC_Firre_Rescue_firre_induced_48h_H3K27me3_ChIPseq,mESC_Firre_Rescue_firre_induced_48h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_firre_induced_48h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2829_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2829_R2.fastq.gz,JR2829_R1.fastq.gz,JR2829_R2.fastq.gz,6064258947d790985d278f5a0800e83f,587c1ad28b1bb8f32b0a02c12dc0ffdb
JR2830,mESC,WT,WT,control,96 hours,Input,1,1,4 days,2020-02,Firre WT 4d Input,,mESC_Firre_OE_control_96h_input_ChIPseq,mESC_Firre_OE_control_96h_input_ChIPseq_read1.fastq.gz,mESC_Firre_OE_control_96h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2830_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2830_R2.fastq.gz,JR2830_R1.fastq.gz,JR2830_R2.fastq.gz,0338f6a6d408cd1035c127bb5a28a80c,3cec5cc81f7d437d29d795fb81adbd75
JR2831,mESC,WT,WTiTg,firre_induced,96 hours,Input,1,1,4 days,2020-02,Firre WTiTg 4d Input,,mESC_Firre_OE_firre_induced_96h_input_ChIPseq,mESC_Firre_OE_firre_induced_96h_input_ChIPseq_read1.fastq.gz,mESC_Firre_OE_firre_induced_96h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2831_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2831_R2.fastq.gz,JR2831_R1.fastq.gz,JR2831_R2.fastq.gz,4e99a53e2beb8359adc04135d3720396,d7c1109cc668d7c8ff132776bc561564
JR2832,mESC,KO,KO,control,96 hours,Input,1,1,4 days,2020-02,Firre KO 4d Input,,mESC_Firre_Rescue_control_96h_input_ChIPseq,mESC_Firre_Rescue_control_96h_input_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_control_96h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2832_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2832_R2.fastq.gz,JR2832_R1.fastq.gz,JR2832_R2.fastq.gz,54fa1e7a486ba0a31a912e9f7ed17676,26d25407c4f93b1b6de214f912eb4ae0
JR2833,mESC,KO,KOiTg,firre_induced,96 hours,Input,1,1,4 days,2020-02,Firre KOiTg 4d Input,,mESC_Firre_Rescue_firre_induced_96h_input_ChIPseq,mESC_Firre_Rescue_firre_induced_96h_input_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_firre_induced_96h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2833_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2833_R2.fastq.gz,JR2833_R1.fastq.gz,JR2833_R2.fastq.gz,fda712713c018023c1cce2c6d3fbfb46,f1a3413bd08f98e0534b8e7020337c2d
JR2834,mESC,WT,WT,control,96 hours,K27me3,1,1,4 days,2020-02,Firre WT 4d K27me3 IP,,mESC_Firre_OE_control_96h_H3K27me3_ChIPseq,mESC_Firre_OE_control_96h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_OE_control_96h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2834_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2834_R2.fastq.gz,JR2834_R1.fastq.gz,JR2834_R2.fastq.gz,7397be0e623108ef3e6c8c5f5380d50e,44e9c409d0fecc974a288ff07ce01c56
JR2835,mESC,WT,WTiTg,firre_induced,96 hours,K27me3,1,1,4 days,2020-02,Firre WTiTg 4d K27me3 IP,,mESC_Firre_OE_firre_induced_96h_H3K27me3_ChIPseq,mESC_Firre_OE_firre_induced_96h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_OE_firre_induced_96h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2835_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2835_R2.fastq.gz,JR2835_R1.fastq.gz,JR2835_R2.fastq.gz,15869838c14a76ad03029855dc242149,c61fafb3a90629f0af149436919c28b9
JR2836,mESC,KO,KO,control,96 hours,K27me3,1,1,4 days,2020-02,Firre KO 4d K27me3 IP,,mESC_Firre_Rescue_control_96h_H3K27me3_ChIPseq,mESC_Firre_Rescue_control_96h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_control_96h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2836_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2836_R2.fastq.gz,JR2836_R1.fastq.gz,JR2836_R2.fastq.gz,1156991dac69056546a4f2308bee87a7,cfe6ec396fa04f360b46813ba8804a01
JR2837,mESC,KO,KOiTg,firre_induced,96 hours,K27me3,1,1,4 days,2020-02,Firre KOiTg 4d K27me3 IP,,mESC_Firre_Rescue_firre_induced_96h_H3K27me3_ChIPseq,mESC_Firre_Rescue_firre_induced_96h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_firre_induced_96h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2837_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2837_R2.fastq.gz,JR2837_R1.fastq.gz,JR2837_R2.fastq.gz,ec818bf1d3f4f86ae65409a0ec8dfaa6,3795762d65aad3486da4c406891c73c6