group,replicate,fastq_1,fastq_2,antibody,control
ko_ctl_0h_H3K27me3,1,fastq/JR2820_L2_R1.fastq.gz,fastq/JR2820_L2_R2.fastq.gz,H3K27me3,ko_ctl_0h_input
ko_ctl_0h_H3K27me3,1,fastq/JR2820_L3_R1.fastq.gz,fastq/JR2820_L3_R2.fastq.gz,H3K27me3,ko_ctl_0h_input
ko_ctl_0h_H3K27me3,1,fastq/JR2820_L4_R1.fastq.gz,fastq/JR2820_L4_R2.fastq.gz,H3K27me3,ko_ctl_0h_input
ko_ctl_2h_H3K27me3,1,fastq/JR2828_L2_R1.fastq.gz,fastq/JR2828_L2_R2.fastq.gz,H3K27me3,ko_ctl_2h_input
ko_ctl_2h_H3K27me3,1,fastq/JR2828_L3_R1.fastq.gz,fastq/JR2828_L3_R2.fastq.gz,H3K27me3,ko_ctl_2h_input
ko_ctl_2h_H3K27me3,1,fastq/JR2828_L4_R1.fastq.gz,fastq/JR2828_L4_R2.fastq.gz,H3K27me3,ko_ctl_2h_input
ko_ctl_4h_H3K27me3,1,fastq/JR2836_L2_R1.fastq.gz,fastq/JR2836_L2_R2.fastq.gz,H3K27me3,ko_ctl_4h_input
ko_ctl_4h_H3K27me3,1,fastq/JR2836_L3_R1.fastq.gz,fastq/JR2836_L3_R2.fastq.gz,H3K27me3,ko_ctl_4h_input
ko_ctl_4h_H3K27me3,1,fastq/JR2836_L4_R1.fastq.gz,fastq/JR2836_L4_R2.fastq.gz,H3K27me3,ko_ctl_4h_input
ko_itg_0h_H3K27me3,1,fastq/JR2821_L2_R1.fastq.gz,fastq/JR2821_L2_R2.fastq.gz,H3K27me3,ko_itg_0h_input
ko_itg_0h_H3K27me3,1,fastq/JR2821_L3_R1.fastq.gz,fastq/JR2821_L3_R2.fastq.gz,H3K27me3,ko_itg_0h_input
ko_itg_0h_H3K27me3,1,fastq/JR2821_L4_R1.fastq.gz,fastq/JR2821_L4_R2.fastq.gz,H3K27me3,ko_itg_0h_input
ko_itg_2h_H3K27me3,1,fastq/JR2829_L2_R1.fastq.gz,fastq/JR2829_L2_R2.fastq.gz,H3K27me3,ko_itg_2h_input
ko_itg_2h_H3K27me3,1,fastq/JR2829_L3_R1.fastq.gz,fastq/JR2829_L3_R2.fastq.gz,H3K27me3,ko_itg_2h_input
ko_itg_2h_H3K27me3,1,fastq/JR2829_L4_R1.fastq.gz,fastq/JR2829_L4_R2.fastq.gz,H3K27me3,ko_itg_2h_input
ko_itg_4h_H3K27me3,1,fastq/JR2837_L2_R1.fastq.gz,fastq/JR2837_L2_R2.fastq.gz,H3K27me3,ko_itg_4h_input
ko_itg_4h_H3K27me3,1,fastq/JR2837_L3_R1.fastq.gz,fastq/JR2837_L3_R2.fastq.gz,H3K27me3,ko_itg_4h_input
ko_itg_4h_H3K27me3,1,fastq/JR2837_L4_R1.fastq.gz,fastq/JR2837_L4_R2.fastq.gz,H3K27me3,ko_itg_4h_input
wt_ctl_0h_H3K27me3,1,fastq/JR2818_L2_R1.fastq.gz,fastq/JR2818_L2_R2.fastq.gz,H3K27me3,wt_ctl_0h_input
wt_ctl_0h_H3K27me3,1,fastq/JR2818_L3_R1.fastq.gz,fastq/JR2818_L3_R2.fastq.gz,H3K27me3,wt_ctl_0h_input
wt_ctl_0h_H3K27me3,1,fastq/JR2818_L4_R1.fastq.gz,fastq/JR2818_L4_R2.fastq.gz,H3K27me3,wt_ctl_0h_input
wt_ctl_2h_H3K27me3,1,fastq/JR2826_L2_R1.fastq.gz,fastq/JR2826_L2_R2.fastq.gz,H3K27me3,wt_ctl_2h_input
wt_ctl_2h_H3K27me3,1,fastq/JR2826_L3_R1.fastq.gz,fastq/JR2826_L3_R2.fastq.gz,H3K27me3,wt_ctl_2h_input
wt_ctl_2h_H3K27me3,1,fastq/JR2826_L4_R1.fastq.gz,fastq/JR2826_L4_R2.fastq.gz,H3K27me3,wt_ctl_2h_input
wt_ctl_4h_H3K27me3,1,fastq/JR2834_L2_R1.fastq.gz,fastq/JR2834_L2_R2.fastq.gz,H3K27me3,wt_ctl_4h_input
wt_ctl_4h_H3K27me3,1,fastq/JR2834_L3_R1.fastq.gz,fastq/JR2834_L3_R2.fastq.gz,H3K27me3,wt_ctl_4h_input
wt_ctl_4h_H3K27me3,1,fastq/JR2834_L4_R1.fastq.gz,fastq/JR2834_L4_R2.fastq.gz,H3K27me3,wt_ctl_4h_input
wt_itg_0h_H3K27me3,1,fastq/JR2819_L2_R1.fastq.gz,fastq/JR2819_L2_R2.fastq.gz,H3K27me3,wt_itg_0h_input
wt_itg_0h_H3K27me3,1,fastq/JR2819_L3_R1.fastq.gz,fastq/JR2819_L3_R2.fastq.gz,H3K27me3,wt_itg_0h_input
wt_itg_0h_H3K27me3,1,fastq/JR2819_L4_R1.fastq.gz,fastq/JR2819_L4_R2.fastq.gz,H3K27me3,wt_itg_0h_input
wt_itg_2h_H3K27me3,1,fastq/JR2827_L2_R1.fastq.gz,fastq/JR2827_L2_R2.fastq.gz,H3K27me3,wt_itg_2h_input
wt_itg_2h_H3K27me3,1,fastq/JR2827_L3_R1.fastq.gz,fastq/JR2827_L3_R2.fastq.gz,H3K27me3,wt_itg_2h_input
wt_itg_2h_H3K27me3,1,fastq/JR2827_L4_R1.fastq.gz,fastq/JR2827_L4_R2.fastq.gz,H3K27me3,wt_itg_2h_input
wt_itg_4h_H3K27me3,1,fastq/JR2835_L2_R1.fastq.gz,fastq/JR2835_L2_R2.fastq.gz,H3K27me3,wt_itg_4h_input
wt_itg_4h_H3K27me3,1,fastq/JR2835_L3_R1.fastq.gz,fastq/JR2835_L3_R2.fastq.gz,H3K27me3,wt_itg_4h_input
wt_itg_4h_H3K27me3,1,fastq/JR2835_L4_R1.fastq.gz,fastq/JR2835_L4_R2.fastq.gz,H3K27me3,wt_itg_4h_input
ko_ctl_0h_input,1,fastq/JR2816_L2_R1.fastq.gz,fastq/JR2816_L2_R2.fastq.gz,,
ko_ctl_0h_input,1,fastq/JR2816_L3_R1.fastq.gz,fastq/JR2816_L3_R2.fastq.gz,,
ko_ctl_0h_input,1,fastq/JR2816_L4_R1.fastq.gz,fastq/JR2816_L4_R2.fastq.gz,,
ko_ctl_2h_input,1,fastq/JR2824_L2_R1.fastq.gz,fastq/JR2824_L2_R2.fastq.gz,,
ko_ctl_2h_input,1,fastq/JR2824_L3_R1.fastq.gz,fastq/JR2824_L3_R2.fastq.gz,,
ko_ctl_2h_input,1,fastq/JR2824_L4_R1.fastq.gz,fastq/JR2824_L4_R2.fastq.gz,,
ko_ctl_4h_input,1,fastq/JR2832_L2_R1.fastq.gz,fastq/JR2832_L2_R2.fastq.gz,,
ko_ctl_4h_input,1,fastq/JR2832_L3_R1.fastq.gz,fastq/JR2832_L3_R2.fastq.gz,,
ko_ctl_4h_input,1,fastq/JR2832_L4_R1.fastq.gz,fastq/JR2832_L4_R2.fastq.gz,,
ko_itg_0h_input,1,fastq/JR2817_L2_R1.fastq.gz,fastq/JR2817_L2_R2.fastq.gz,,
ko_itg_0h_input,1,fastq/JR2817_L3_R1.fastq.gz,fastq/JR2817_L3_R2.fastq.gz,,
ko_itg_0h_input,1,fastq/JR2817_L4_R1.fastq.gz,fastq/JR2817_L4_R2.fastq.gz,,
ko_itg_2h_input,1,fastq/JR2825_L2_R1.fastq.gz,fastq/JR2825_L2_R2.fastq.gz,,
ko_itg_2h_input,1,fastq/JR2825_L3_R1.fastq.gz,fastq/JR2825_L3_R2.fastq.gz,,
ko_itg_2h_input,1,fastq/JR2825_L4_R1.fastq.gz,fastq/JR2825_L4_R2.fastq.gz,,
ko_itg_4h_input,1,fastq/JR2833_L2_R1.fastq.gz,fastq/JR2833_L2_R2.fastq.gz,,
ko_itg_4h_input,1,fastq/JR2833_L3_R1.fastq.gz,fastq/JR2833_L3_R2.fastq.gz,,
ko_itg_4h_input,1,fastq/JR2833_L4_R1.fastq.gz,fastq/JR2833_L4_R2.fastq.gz,,
wt_ctl_0h_input,1,fastq/JR2814_L2_R1.fastq.gz,fastq/JR2814_L2_R2.fastq.gz,,
wt_ctl_0h_input,1,fastq/JR2814_L3_R1.fastq.gz,fastq/JR2814_L3_R2.fastq.gz,,
wt_ctl_0h_input,1,fastq/JR2814_L4_R1.fastq.gz,fastq/JR2814_L4_R2.fastq.gz,,
wt_ctl_2h_input,1,fastq/JR2822_L2_R1.fastq.gz,fastq/JR2822_L2_R2.fastq.gz,,
wt_ctl_2h_input,1,fastq/JR2822_L3_R1.fastq.gz,fastq/JR2822_L3_R2.fastq.gz,,
wt_ctl_2h_input,1,fastq/JR2822_L4_R1.fastq.gz,fastq/JR2822_L4_R2.fastq.gz,,
wt_ctl_4h_input,1,fastq/JR2830_L2_R1.fastq.gz,fastq/JR2830_L2_R2.fastq.gz,,
wt_ctl_4h_input,1,fastq/JR2830_L3_R1.fastq.gz,fastq/JR2830_L3_R2.fastq.gz,,
wt_ctl_4h_input,1,fastq/JR2830_L4_R1.fastq.gz,fastq/JR2830_L4_R2.fastq.gz,,
wt_itg_0h_input,1,fastq/JR2815_L2_R1.fastq.gz,fastq/JR2815_L2_R2.fastq.gz,,
wt_itg_0h_input,1,fastq/JR2815_L3_R1.fastq.gz,fastq/JR2815_L3_R2.fastq.gz,,
wt_itg_0h_input,1,fastq/JR2815_L4_R1.fastq.gz,fastq/JR2815_L4_R2.fastq.gz,,
wt_itg_2h_input,1,fastq/JR2823_L2_R1.fastq.gz,fastq/JR2823_L2_R2.fastq.gz,,
wt_itg_2h_input,1,fastq/JR2823_L3_R1.fastq.gz,fastq/JR2823_L3_R2.fastq.gz,,
wt_itg_2h_input,1,fastq/JR2823_L4_R1.fastq.gz,fastq/JR2823_L4_R2.fastq.gz,,
wt_itg_4h_input,1,fastq/JR2831_L2_R1.fastq.gz,fastq/JR2831_L2_R2.fastq.gz,,
wt_itg_4h_input,1,fastq/JR2831_L3_R1.fastq.gz,fastq/JR2831_L3_R2.fastq.gz,,
wt_itg_4h_input,1,fastq/JR2831_L4_R1.fastq.gz,fastq/JR2831_L4_R2.fastq.gz,,