sample,fastq_1,fastq_2,strandedness
ESC_KO_control_270min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2406_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2406_R2.fq.gz,unstranded
ESC_KO_control_240min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2407_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2407_R2.fq.gz,unstranded
ESC_KO_control_90min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2408_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2408_R2.fq.gz,unstranded
ESC_KO_control_180min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2409_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2409_R2.fq.gz,unstranded
ESC_KO_control_330min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2410_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2410_R2.fq.gz,unstranded
ESC_KO_control_150min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2411_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2411_R2.fq.gz,unstranded
ESC_KO_firre_induced_210min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2412_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2412_R2.fq.gz,unstranded
ESC_KO_firre_induced_30min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2413_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2413_R2.fq.gz,unstranded
ESC_KO_firre_induced_330min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2414_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2414_R2.fq.gz,unstranded
ESC_KO_firre_induced_0min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2415_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2415_R2.fq.gz,unstranded
ESC_KO_firre_induced_120min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2416_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2416_R2.fq.gz,unstranded
ESC_KO_firre_induced_90min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2417_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2417_R2.fq.gz,unstranded
ESC_KO_control_210min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2418_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2418_R2.fq.gz,unstranded
ESC_KO_control_60min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2419_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2419_R2.fq.gz,unstranded
ESC_KO_control_0min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2420_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2420_R2.fq.gz,unstranded
ESC_KO_control_300min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2421_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2421_R2.fq.gz,unstranded
ESC_KO_control_120min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2422_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2422_R2.fq.gz,unstranded
ESC_KO_control_30min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2423_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2423_R2.fq.gz,unstranded
ESC_KO_firre_induced_300min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2424_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2424_R2.fq.gz,unstranded
ESC_KO_firre_induced_150min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2425_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2425_R2.fq.gz,unstranded
ESC_KO_firre_induced_240min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2426_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2426_R2.fq.gz,unstranded
ESC_KO_firre_induced_60min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2427_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2427_R2.fq.gz,unstranded
ESC_KO_firre_induced_270min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2428_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2428_R2.fq.gz,unstranded
ESC_KO_firre_induced_180min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2429_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2429_R2.fq.gz,unstranded
ESC_KO_control_240min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2430_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2430_R2.fq.gz,unstranded
ESC_KO_control_270min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2431_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2431_R2.fq.gz,unstranded
ESC_KO_control_180min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2432_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2432_R2.fq.gz,unstranded
ESC_KO_control_300min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2433_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2433_R2.fq.gz,unstranded
ESC_KO_control_330min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2434_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2434_R2.fq.gz,unstranded
ESC_KO_control_30min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2435_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2435_R2.fq.gz,unstranded
ESC_KO_firre_induced_240min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2436_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2436_R2.fq.gz,unstranded
ESC_KO_firre_induced_0min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2437_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2437_R2.fq.gz,unstranded
ESC_KO_firre_induced_60min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2438_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2438_R2.fq.gz,unstranded
ESC_KO_firre_induced_120min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2439_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2439_R2.fq.gz,unstranded
ESC_KO_firre_induced_30min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2440_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2440_R2.fq.gz,unstranded
ESC_KO_firre_induced_180min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2441_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2441_R2.fq.gz,unstranded
ESC_KO_control_210min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2442_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2442_R2.fq.gz,unstranded
ESC_KO_control_0min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2443_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2443_R2.fq.gz,unstranded
ESC_KO_control_150min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2444_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2444_R2.fq.gz,unstranded
ESC_KO_control_120min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2445_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2445_R2.fq.gz,unstranded
ESC_KO_control_90min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2446_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2446_R2.fq.gz,unstranded
ESC_KO_control_60min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2447_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2447_R2.fq.gz,unstranded
ESC_KO_firre_induced_300min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2448_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2448_R2.fq.gz,unstranded
ESC_KO_firre_induced_210min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2449_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2449_R2.fq.gz,unstranded
ESC_KO_firre_induced_150min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2450_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2450_R2.fq.gz,unstranded
ESC_KO_firre_induced_270min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2451_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2451_R2.fq.gz,unstranded
ESC_KO_firre_induced_330min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2452_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2452_R2.fq.gz,unstranded
ESC_KO_firre_induced_90min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2453_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2453_R2.fq.gz,unstranded
pMEF_WT_control_0min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2492_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2492_R2.fq.gz,unstranded
pMEF_WT_control_300min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2493_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2493_R2.fq.gz,unstranded
pMEF_WT_control_330min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2494_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2494_R2.fq.gz,unstranded
pMEF_WT_control_90min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2495_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2495_R2.fq.gz,unstranded
pMEF_WT_control_210min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2496_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2496_R2.fq.gz,unstranded
pMEF_WT_control_60min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2497_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2497_R2.fq.gz,unstranded
pMEF_WT_control_180min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2498_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2498_R2.fq.gz,unstranded
pMEF_WT_control_120min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2499_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2499_R2.fq.gz,unstranded
pMEF_WT_control_150min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2500_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2500_R2.fq.gz,unstranded
pMEF_WT_control_240min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2501_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2501_R2.fq.gz,unstranded
pMEF_WT_control_270min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2502_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2502_R2.fq.gz,unstranded
pMEF_WT_control_30min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2503_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2503_R2.fq.gz,unstranded
pMEF_KO_firre_induced_120min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2504_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2504_R2.fq.gz,unstranded
pMEF_KO_firre_induced_330min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2505_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2505_R2.fq.gz,unstranded
pMEF_KO_firre_induced_180min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2506_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2506_R2.fq.gz,unstranded
pMEF_KO_firre_induced_270min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2507_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2507_R2.fq.gz,unstranded
pMEF_KO_firre_induced_240min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2508_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2508_R2.fq.gz,unstranded
pMEF_KO_firre_induced_150min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2509_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2509_R2.fq.gz,unstranded
pMEF_KO_firre_induced_210min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2510_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2510_R2.fq.gz,unstranded
pMEF_KO_firre_induced_300min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2511_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2511_R2.fq.gz,unstranded
pMEF_KO_firre_induced_90min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2512_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2512_R2.fq.gz,unstranded
pMEF_KO_firre_induced_60min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2513_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2513_R2.fq.gz,unstranded
pMEF_KO_firre_induced_30min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2514_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2514_R2.fq.gz,unstranded
pMEF_KO_firre_induced_0min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2515_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2515_R2.fq.gz,unstranded
ESC_WT_control_240min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2516_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2516_R2.fq.gz,unstranded
ESC_WT_control_270min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2517_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2517_R2.fq.gz,unstranded
ESC_WT_control_90min_dox_short_rep2,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2518_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2518_R2.fq.gz,unstranded
