id,sample_info,index,sample_name
JR2516,Firre WT1 240-1,1,1
JR2517,Firre WT1 270-1,2,2
JR2518,Firre WT1 90-2,3,3
JR2519,Firre WT1 60-1,4,4
JR2520,Firre WT1 0-2,6,5
JR2521,Firre WT1 120-1,8,6
JR2522,Firre WT1 180-2,10,7
JR2523,Firre WT1 270-2,13,8
JR2524,Firre WT1 210-1,16,9
JR2525,Firre WT1 120-2,18,10
JR2526,Firre WT1 90-1,23,11
JR2527,Firre WT1 300-2,25,12
JR2528,Firre WT1 150-2,1,13
JR2529,Firre WT1 30-1,2,14
JR2530,Firre WT1 180-1,3,15
JR2531,Firre WT1 150-1,4,16
JR2532,Firre WT1 300-1,6,17
JR2533,Firre WT1 30-2,8,18
JR2534,Firre WT1 330-2,10,19
JR2535,Firre WT1 330-1,13,20
JR2536,Firre WT1 0-1,16,21
JR2537,Firre WT1 60-2,18,22
JR2538,Firre WT1 240-2,23,23
JR2539,Firre WT1 210-2,25,24
JR2540,Firre WTiTg1 180-1,1,25
JR2541,Firre WTiTg1 300-1,2,26
JR2542,Firre WTiTg1 300-2,3,27
JR2543,Firre WTiTg1 120-2,4,28
JR2544,Firre WTiTg1 150-1,6,29
JR2545,Firre WTiTg1 210-1,8,30
JR2546,Firre WTiTg1 60-1,10,31
JR2547,Firre WTiTg1 330-1,13,32
JR2548,Firre WTiTg1 30-2,16,33
JR2549,Firre WTiTg1 150-2,18,34
JR2550,Firre WTiTg1 90-2,23,35
JR2551,Firre WTiTg1 0-2,25,36
JR2552,Firre WTiTg1 210-2,1,37
JR2553,Firre WTiTg1 330-2,2,38
JR2554,Firre WTiTg1 240-2,3,39
JR2555,Firre WTiTg1 90-1,4,40
JR2556,Firre WTiTg1 30-1,6,41
JR2557,Firre WTiTg1 60-2,8,42
JR2558,Firre WTiTg1 240-1,10,43
JR2559,Firre WTiTg1 270-1,13,44
JR2560,Firre WTiTg1 180-2,16,45
JR2561,Firre WTiTg1 120-1,18,46
JR2562,Firre WTiTg1 270-2,23,47
JR2563,Firre WTiTg1 0-1,25,48